Unicode Point  |  Glyph   |   Name
\u0020                        space
\u0021             !          exclam
\u0022             "          quotedbl
\u0023             #          numbersign
\u0024             $          dollar
\u0025             %          percent
\u0026             &          ampersand
\u0027             '          quotesingle
\u0028             (          parenleft
\u0029             )          parenright
\u002a             *          asterisk
\u002b             +          plus
\u002c             ,          comma
\u002d             -          hyphen
\u002e             .          period
\u002f             /          slash
\u0030             0          zero
\u0031             1          one
\u0032             2          two
\u0033             3          three
\u0034             4          four
\u0035             5          five
\u0036             6          six
\u0037             7          seven
\u0038             8          eight
\u0039             9          nine
\u003a             :          colon
\u003b             ;          semicolon
\u003c             <          less
\u003d             =          equal
\u003e             >          greater
\u003f             ?          question
\u0040             @          at
\u0041             A          A
\u0042             B          B
\u0043             C          C
\u0044             D          D
\u0045             E          E
\u0046             F          F
\u0047             G          G
\u0048             H          H
\u0049             I          I
\u004a             J          J
\u004b             K          K
\u004c             L          L
\u004d             M          M
\u004e             N          N
\u004f             O          O
\u0050             P          P
\u0051             Q          Q
\u0052             R          R
\u0053             S          S
\u0054             T          T
\u0055             U          U
\u0056             V          V
\u0057             W          W
\u0058             X          X
\u0059             Y          Y
\u005a             Z          Z
\u005b             [          bracketleft
\u005c             \          backslash
\u005d             ]          bracketright
\u005e             ^          asciicircum
\u005f             _          underscore
\u0060             `          grave
\u0061             a          a
\u0062             b          b
\u0063             c          c
\u0064             d          d
\u0065             e          e
\u0066             f          f
\u0067             g          g
\u0068             h          h
\u0069             i          i
\u006a             j          j
\u006b             k          k
\u006c             l          l
\u006d             m          m
\u006e             n          n
\u006f             o          o
\u0070             p          p
\u0071             q          q
\u0072             r          r
\u0073             s          s
\u0074             t          t
\u0075             u          u
\u0076             v          v
\u0077             w          w
\u0078             x          x
\u0079             y          y
\u007a             z          z
\u007b             {          braceleft
\u007c             |          bar
\u007d             }          braceright
\u007e             ~          asciitilde
\u007f                       uni007F
\u0080                       uni0080
\u0081                       uni0081
\u0082                       uni0082
\u0083                       uni0083
\u0084                       uni0084
\u0085                       uni0085
\u0086                       uni0086
\u0087                       uni0087
\u0088                       uni0088
\u0089                       uni0089
\u008a                       uni008A
\u008b                       uni008B
\u008c                       uni008C
\u008d                       uni008D
\u008e                       uni008E
\u008f                       uni008F
\u0090                       uni0090
\u0091                       uni0091
\u0092                       uni0092
\u0093                       uni0093
\u0094                       uni0094
\u0095                       uni0095
\u0096                       uni0096
\u0097                       uni0097
\u0098                       uni0098
\u0099                       uni0099
\u009a                       uni009A
\u009b                       uni009B
\u009c                       uni009C
\u009d                       uni009D
\u009e                       uni009E
\u009f                       uni009F
\u00a0                        uni00A0
\u00a1             ¡          exclamdown
\u00a2             ¢          cent
\u00a3             £          sterling
\u00a4             ¤          currency
\u00a5             ¥          yen
\u00a6             ¦          brokenbar
\u00a7             §          section
\u00a8             ¨          dieresis
\u00a9             ©          copyright
\u00aa             ª          ordfeminine
\u00ab             «          guillemotleft
\u00ac             ¬          logicalnot
\u00ad             ­          uni00AD
\u00ae             ®          registered
\u00af             ¯          macron
\u00b0             °          degree
\u00b1             ±          plusminus
\u00b2             ²          uni00B2
\u00b3             ³          uni00B3
\u00b4             ´          acute
\u00b5             µ          mu
\u00b6             ¶          paragraph
\u00b7             ·          periodcentered
\u00b8             ¸          cedilla
\u00b9             ¹          uni00B9
\u00ba             º          ordmasculine
\u00bb             »          guillemotright
\u00bc             ¼          onequarter
\u00bd             ½          onehalf
\u00be             ¾          threequarters
\u00bf             ¿          questiondown
\u00c0             À          Agrave
\u00c1             Á          Aacute
\u00c2             Â          Acircumflex
\u00c3             Ã          Atilde
\u00c4             Ä          Adieresis
\u00c5             Å          Aring
\u00c6             Æ          AE
\u00c7             Ç          Ccedilla
\u00c8             È          Egrave
\u00c9             É          Eacute
\u00ca             Ê          Ecircumflex
\u00cb             Ë          Edieresis
\u00cc             Ì          Igrave
\u00cd             Í          Iacute
\u00ce             Î          Icircumflex
\u00cf             Ï          Idieresis
\u00d0             Ð          Eth
\u00d1             Ñ          Ntilde
\u00d2             Ò          Ograve
\u00d3             Ó          Oacute
\u00d4             Ô          Ocircumflex
\u00d5             Õ          Otilde
\u00d6             Ö          Odieresis
